,model,Number of residues in common,global rmsd,TM-score,MaxSub-score,GDT-TS-score,GDT-TS-score %(d<1),GDT-TS-score %(d<2),GDT-TS-score %(d<4),GDT-TS-score %(d<8),GDT-HA-score,GDT-HA-score %(d<0.5),GDT-HA-score %(d<1),GDT-HA-score %(d<2),GDT-HA-score %(d<4),TM-score Superposition Length(d<5.0),CDR3 length,resolution
7vfa_D,OFr20em,122,1.199,0.9534,0.9339,0.9631,0.8852,0.9672,1.0,1.0,0.8525,0.5574,0.8852,0.9672,1.0,119,16,1.75
7vfa_D,IFem,122,1.42,0.932,0.9077,0.9201,0.7377,0.9508,0.9918,1.0,0.752,0.3279,0.7377,0.9508,0.9918,118,16,1.75
7vfa_D,IF,122,1.395,0.9352,0.9118,0.9283,0.8115,0.918,0.9836,1.0,0.8012,0.4918,0.8115,0.918,0.9836,119,16,1.75
7vfa_D,AF2r10em,122,1.124,0.9548,0.9336,0.9631,0.8852,0.9672,1.0,1.0,0.8402,0.5082,0.8852,0.9672,1.0,120,16,1.75
7vfa_D,OFem,122,1.203,0.9511,0.9304,0.9611,0.8852,0.959,1.0,1.0,0.8381,0.5082,0.8852,0.959,1.0,120,16,1.75
7vfa_D,ESM,122,1.129,0.9667,0.9523,0.9754,0.9426,0.9672,0.9918,1.0,0.9221,0.7869,0.9426,0.9672,0.9918,118,16,1.75
7vfa_D,AF2m,122,0.517,0.9848,0.9796,0.9939,0.9754,1.0,1.0,1.0,0.9221,0.7131,0.9754,1.0,1.0,122,16,1.75
7vfa_D,AF2em,122,1.243,0.9515,0.932,0.959,0.877,0.9672,0.9918,1.0,0.834,0.5,0.877,0.9672,0.9918,118,16,1.75
7vfa_D,AF2r10,122,1.091,0.9669,0.9519,0.9775,0.9426,0.9672,1.0,1.0,0.9242,0.7869,0.9426,0.9672,1.0,119,16,1.75
7vfa_D,NNem,122,1.731,0.8971,0.8612,0.8504,0.5492,0.877,0.9754,1.0,0.6496,0.1967,0.5492,0.877,0.9754,119,16,1.75
7lzp_B,AF2,128,2.481,0.8773,0.8338,0.8535,0.6875,0.8125,0.9141,1.0,0.7305,0.5078,0.6875,0.8125,0.9141,117,21,2.86
7lzp_B,AF2r10,128,2.554,0.8755,0.8326,0.8496,0.6797,0.8047,0.9141,1.0,0.7266,0.5078,0.6797,0.8047,0.9141,117,21,2.86
7lzp_B,AF2mem,128,2.296,0.8635,0.806,0.8281,0.6016,0.7734,0.9375,1.0,0.6543,0.3047,0.6016,0.7734,0.9375,121,21,2.86
7lzp_B,AF2m,128,2.039,0.8961,0.8556,0.873,0.7109,0.8359,0.9453,1.0,0.7461,0.4922,0.7109,0.8359,0.9453,121,21,2.86
7lzp_B,OFr20em,128,2.152,0.8698,0.8085,0.8379,0.6328,0.7812,0.9375,1.0,0.6582,0.2812,0.6328,0.7812,0.9375,121,21,2.86
7lzp_B,OFem,128,2.184,0.8684,0.8103,0.8301,0.6172,0.7734,0.9297,1.0,0.6562,0.3047,0.6172,0.7734,0.9297,120,21,2.86
7lzp_B,OFr4,128,2.211,0.8848,0.837,0.8535,0.6719,0.8047,0.9375,1.0,0.7266,0.4922,0.6719,0.8047,0.9375,122,21,2.86
7lzp_B,NN,128,1.676,0.9111,0.8729,0.8828,0.7031,0.8594,0.9688,1.0,0.7461,0.4531,0.7031,0.8594,0.9688,125,21,2.86
7lzp_B,YS,128,4.245,0.8429,0.8007,0.8184,0.6562,0.7969,0.8906,0.9297,0.6641,0.3125,0.6562,0.7969,0.8906,114,21,2.86
7lzp_B,AF2r10em,128,2.572,0.858,0.8074,0.8223,0.5938,0.7734,0.9219,1.0,0.6602,0.3516,0.5938,0.7734,0.9219,119,21,2.86
7lzp_B,AF2em,128,2.481,0.8607,0.8125,0.8223,0.5938,0.7812,0.9141,1.0,0.6543,0.3281,0.5938,0.7812,0.9141,117,21,2.86
7lzp_B,NNem,128,2.041,0.8477,0.769,0.7871,0.4219,0.7578,0.9688,1.0,0.5742,0.1484,0.4219,0.7578,0.9688,126,21,2.86
7lzp_B,OF,128,2.207,0.8849,0.837,0.8535,0.6641,0.8125,0.9375,1.0,0.7285,0.5,0.6641,0.8125,0.9375,121,21,2.86
7lzp_B,OFr4em,128,2.263,0.877,0.8263,0.834,0.6016,0.7969,0.9375,1.0,0.666,0.3281,0.6016,0.7969,0.9375,123,21,2.86
7lzp_B,IFem,128,1.759,0.9001,0.8569,0.8633,0.6328,0.8594,0.9609,1.0,0.7051,0.3672,0.6328,0.8594,0.9609,125,21,2.86
7lzp_B,OFr20,128,2.092,0.8879,0.8387,0.8594,0.6719,0.8125,0.9531,1.0,0.7344,0.5,0.6719,0.8125,0.9531,121,21,2.86
7lzp_B,IF,128,1.776,0.9118,0.8751,0.8887,0.7266,0.875,0.9531,1.0,0.7637,0.5,0.7266,0.875,0.9531,122,21,2.86
7lzp_B,ESM,128,2.818,0.8728,0.8298,0.8574,0.6797,0.8281,0.9219,1.0,0.7285,0.4844,0.6797,0.8281,0.9219,118,21,2.86
7nft_C,YS,120,2.012,0.8916,0.8535,0.8667,0.6417,0.8583,0.9667,1.0,0.6813,0.2583,0.6417,0.8583,0.9667,116,13,3.14
7nft_C,AF2m,120,0.531,0.9844,0.9796,0.9938,0.975,1.0,1.0,1.0,0.9458,0.8083,0.975,1.0,1.0,120,13,3.14
7nft_C,OFr20em,120,0.895,0.9578,0.9457,0.9479,0.8083,0.9833,1.0,1.0,0.8125,0.4583,0.8083,0.9833,1.0,120,13,3.14
7nft_C,OF,120,0.536,0.9837,0.9786,0.9917,0.9667,1.0,1.0,1.0,0.9313,0.7583,0.9667,1.0,1.0,120,13,3.14
7nft_C,OFr20,120,0.536,0.9837,0.9786,0.9917,0.9667,1.0,1.0,1.0,0.9313,0.7583,0.9667,1.0,1.0,120,13,3.14
7nft_C,OFem,120,0.87,0.9608,0.9497,0.9521,0.825,0.9833,1.0,1.0,0.8187,0.4667,0.825,0.9833,1.0,120,13,3.14
7nft_C,AF2r10,120,0.621,0.9794,0.9733,0.9896,0.9667,0.9917,1.0,1.0,0.9187,0.7167,0.9667,0.9917,1.0,120,13,3.14
7nft_C,AF2r10em,120,0.809,0.9653,0.9553,0.9688,0.8917,0.9833,1.0,1.0,0.8333,0.4583,0.8917,0.9833,1.0,120,13,3.14
7nft_C,NN,120,1.042,0.953,0.9388,0.95,0.8667,0.9333,1.0,1.0,0.8562,0.625,0.8667,0.9333,1.0,120,13,3.14
7nft_C,OFr4,120,0.525,0.9843,0.9795,0.9917,0.9667,1.0,1.0,1.0,0.9313,0.7583,0.9667,1.0,1.0,120,13,3.14
7nft_C,OFr4em,120,0.868,0.9612,0.9502,0.9583,0.85,0.9833,1.0,1.0,0.8208,0.45,0.85,0.9833,1.0,120,13,3.14
7nft_C,ESM,120,1.285,0.947,0.9187,0.9458,0.875,0.9333,0.975,1.0,0.8646,0.675,0.875,0.9333,0.975,119,13,3.14
7nft_C,AF2mem,120,0.782,0.9679,0.9586,0.9646,0.8667,0.9917,1.0,1.0,0.8562,0.5667,0.8667,0.9917,1.0,120,13,3.14
7nft_C,NNem,120,1.406,0.9151,0.8844,0.8833,0.6333,0.9,1.0,1.0,0.6875,0.2167,0.6333,0.9,1.0,119,13,3.14
7nft_C,IF,120,1.811,0.9402,0.9192,0.95,0.9,0.9333,0.9667,1.0,0.875,0.7,0.9,0.9333,0.9667,114,13,3.14
7nft_C,AF2em,120,1.08,0.9459,0.926,0.9417,0.8083,0.9583,1.0,1.0,0.7875,0.3833,0.8083,0.9583,1.0,120,13,3.14
7nft_C,IFem,120,1.93,0.924,0.8991,0.9271,0.8083,0.9333,0.9667,1.0,0.7771,0.4,0.8083,0.9333,0.9667,113,13,3.14
7nft_C,AF2,120,0.63,0.9785,0.9722,0.9875,0.9583,0.9917,1.0,1.0,0.9104,0.6917,0.9583,0.9917,1.0,120,13,3.14
7php_N,NN,122,4.426,0.8744,0.8494,0.8627,0.7459,0.8607,0.9016,0.9426,0.7541,0.5082,0.7459,0.8607,0.9016,110,14,3.47
7php_N,IF,122,1.642,0.9254,0.8895,0.916,0.7869,0.9016,0.9754,1.0,0.7971,0.5246,0.7869,0.9016,0.9754,119,14,3.47
7php_N,AF2em,122,1.283,0.945,0.9274,0.9303,0.7787,0.959,0.9836,1.0,0.7746,0.377,0.7787,0.959,0.9836,120,14,3.47
7php_N,AF2,122,1.176,0.9592,0.9455,0.959,0.877,0.9672,0.9918,1.0,0.8422,0.5328,0.877,0.9672,0.9918,120,14,3.47
7php_N,AF2r10,122,1.155,0.9601,0.9463,0.959,0.8607,0.9836,0.9918,1.0,0.8443,0.541,0.8607,0.9836,0.9918,120,14,3.47
7php_N,OFr20em,122,2.024,0.9074,0.8722,0.8955,0.7049,0.918,0.959,1.0,0.7234,0.3115,0.7049,0.918,0.959,115,14,3.47
7php_N,YS,122,1.767,0.9143,0.8848,0.8955,0.6967,0.9098,0.9754,1.0,0.7254,0.3197,0.6967,0.9098,0.9754,118,14,3.47
7php_N,NNem,122,4.388,0.8521,0.82,0.8135,0.5738,0.8361,0.9016,0.9426,0.6434,0.2623,0.5738,0.8361,0.9016,110,14,3.47
7php_N,ESM,122,1.987,0.9196,0.889,0.9262,0.8361,0.9098,0.959,1.0,0.8156,0.5574,0.8361,0.9098,0.959,114,14,3.47
7php_N,OFr4em,122,2.097,0.9096,0.8766,0.9037,0.7459,0.918,0.9508,1.0,0.7377,0.3361,0.7459,0.918,0.9508,115,14,3.47
7php_N,OF,122,1.94,0.9237,0.8912,0.9324,0.8525,0.918,0.959,1.0,0.8197,0.5492,0.8525,0.918,0.959,115,14,3.47
7php_N,AF2mem,122,1.538,0.9229,0.8962,0.9016,0.7049,0.918,0.9836,1.0,0.7336,0.3279,0.7049,0.918,0.9836,119,14,3.47
7php_N,OFr4,122,2.034,0.9203,0.8885,0.9262,0.8525,0.9098,0.9508,0.9918,0.8176,0.5574,0.8525,0.9098,0.9508,114,14,3.47
7php_N,AF2m,122,1.495,0.9343,0.906,0.9324,0.8115,0.9344,0.9836,1.0,0.793,0.4426,0.8115,0.9344,0.9836,118,14,3.47
7php_N,OFem,122,2.04,0.9034,0.8675,0.8873,0.6803,0.9098,0.959,1.0,0.7131,0.3033,0.6803,0.9098,0.959,115,14,3.47
7php_N,AF2r10em,122,1.274,0.9471,0.9298,0.9406,0.7951,0.9754,0.9918,1.0,0.7766,0.3443,0.7951,0.9754,0.9918,120,14,3.47
7php_N,OFr20,122,1.931,0.9245,0.8934,0.9344,0.8607,0.918,0.959,1.0,0.8217,0.5492,0.8607,0.918,0.959,115,14,3.47
7php_N,IFem,122,1.789,0.8849,0.8442,0.8422,0.541,0.8525,0.9754,1.0,0.6475,0.2213,0.541,0.8525,0.9754,119,14,3.47
7djy_A,OFem,123,0.76,0.9709,0.9618,0.9736,0.9106,0.9837,1.0,1.0,0.872,0.5935,0.9106,0.9837,1.0,123,14,2.7
7djy_A,OFr20,123,0.465,0.9881,0.984,0.9939,0.9756,1.0,1.0,1.0,0.9472,0.813,0.9756,1.0,1.0,123,14,2.7
7djy_A,OFr4,123,0.473,0.9877,0.9834,0.9939,0.9756,1.0,1.0,1.0,0.9451,0.8049,0.9756,1.0,1.0,123,14,2.7
7djy_A,AF2em,123,3.25,0.8946,0.8631,0.872,0.6829,0.9106,0.935,0.9593,0.7297,0.3902,0.6829,0.9106,0.935,116,14,2.7
7djy_A,OF,123,0.465,0.9881,0.984,0.9939,0.9756,1.0,1.0,1.0,0.9472,0.813,0.9756,1.0,1.0,123,14,2.7
7djy_A,AF2r10em,123,3.291,0.897,0.8677,0.8841,0.7398,0.9024,0.935,0.9593,0.752,0.4309,0.7398,0.9024,0.935,115,14,2.7
7djy_A,AF2r10,123,3.075,0.922,0.9044,0.9167,0.8455,0.9187,0.9431,0.9593,0.8476,0.6829,0.8455,0.9187,0.9431,116,14,2.7
7djy_A,ESM,123,3.047,0.9223,0.905,0.9207,0.8618,0.9187,0.9431,0.9593,0.8455,0.6585,0.8618,0.9187,0.9431,116,14,2.7
7djy_A,NNem,123,1.44,0.9153,0.886,0.8821,0.6341,0.9024,0.9919,1.0,0.689,0.2276,0.6341,0.9024,0.9919,122,14,2.7
7djy_A,YS,123,4.26,0.8614,0.8248,0.8252,0.5772,0.8537,0.9187,0.9512,0.6443,0.2276,0.5772,0.8537,0.9187,113,14,2.7
7djy_A,AF2,123,3.024,0.923,0.9086,0.9167,0.8455,0.9187,0.9431,0.9593,0.8435,0.6667,0.8455,0.9187,0.9431,116,14,2.7
7djy_A,OFr4em,123,0.742,0.9719,0.9629,0.9736,0.9106,0.9837,1.0,1.0,0.874,0.6016,0.9106,0.9837,1.0,123,14,2.7
7djy_A,NN,123,1.109,0.9562,0.9366,0.9553,0.878,0.9512,0.9919,1.0,0.8516,0.5854,0.878,0.9512,0.9919,122,14,2.7
7djy_A,IFem,123,2.151,0.917,0.8842,0.9207,0.8293,0.9024,0.9593,0.9919,0.7825,0.439,0.8293,0.9024,0.9593,118,14,2.7
7djy_A,IF,123,2.096,0.9301,0.9064,0.935,0.8699,0.9187,0.9593,0.9919,0.8415,0.6179,0.8699,0.9187,0.9593,118,14,2.7
7djy_A,OFr20em,123,0.728,0.9727,0.964,0.9715,0.9024,0.9837,1.0,1.0,0.874,0.6098,0.9024,0.9837,1.0,123,14,2.7
7d4b_B,OFr20em,125,2.678,0.8949,0.8681,0.876,0.728,0.864,0.936,0.976,0.744,0.448,0.728,0.864,0.936,117,16,3.14
7d4b_B,OF,125,2.623,0.9108,0.8829,0.902,0.8,0.896,0.936,0.976,0.818,0.64,0.8,0.896,0.936,117,16,3.14
7d4b_B,NN,125,4.024,0.8969,0.8693,0.896,0.824,0.872,0.928,0.96,0.814,0.632,0.824,0.872,0.928,115,16,3.14
7d4b_B,OFr4em,125,2.661,0.9027,0.8774,0.89,0.76,0.888,0.944,0.968,0.752,0.416,0.76,0.888,0.944,118,16,3.14
7d4b_B,AF2mem,125,2.97,0.8981,0.8733,0.892,0.76,0.912,0.928,0.968,0.754,0.416,0.76,0.912,0.928,116,16,3.14
7d4b_B,OFem,125,2.687,0.8933,0.8661,0.872,0.72,0.856,0.936,0.976,0.736,0.432,0.72,0.856,0.936,117,16,3.14
7d4b_B,YS,125,1.958,0.8916,0.8455,0.88,0.704,0.856,0.96,1.0,0.708,0.312,0.704,0.856,0.96,117,16,3.14
7d4b_B,AF2m,125,2.873,0.9085,0.8867,0.904,0.808,0.912,0.928,0.968,0.804,0.568,0.808,0.912,0.928,115,16,3.14
7d4b_B,ESM,125,2.632,0.9022,0.8735,0.898,0.8,0.896,0.92,0.976,0.804,0.6,0.8,0.896,0.92,115,16,3.14
7d4b_B,OFr20,125,2.623,0.9108,0.8829,0.902,0.8,0.896,0.936,0.976,0.818,0.64,0.8,0.896,0.936,117,16,3.14
7d4b_B,NNem,125,4.016,0.8672,0.8303,0.834,0.6,0.856,0.92,0.96,0.652,0.232,0.6,0.856,0.92,115,16,3.14
7d4b_B,AF2em,125,2.638,0.9017,0.8729,0.89,0.744,0.912,0.936,0.968,0.742,0.376,0.744,0.912,0.936,115,16,3.14
7d4b_B,OFr4,125,2.603,0.9153,0.8923,0.908,0.816,0.904,0.944,0.968,0.83,0.656,0.816,0.904,0.944,117,16,3.14
7d4b_B,AF2r10,125,2.615,0.9154,0.892,0.908,0.824,0.912,0.928,0.968,0.83,0.656,0.824,0.912,0.928,115,16,3.14
7d4b_B,IFem,125,3.81,0.8704,0.8332,0.856,0.704,0.84,0.912,0.968,0.702,0.352,0.704,0.84,0.912,114,16,3.14
7d4b_B,AF2,125,2.602,0.9158,0.8921,0.912,0.824,0.92,0.936,0.968,0.83,0.64,0.824,0.92,0.936,115,16,3.14
7d4b_B,IF,125,3.689,0.8951,0.8635,0.894,0.808,0.872,0.928,0.968,0.806,0.616,0.808,0.872,0.928,114,16,3.14
7d4b_B,AF2r10em,125,2.695,0.8925,0.8614,0.876,0.696,0.904,0.936,0.968,0.722,0.352,0.696,0.904,0.936,115,16,3.14
7lzp_G,YS,110,1.218,0.9235,0.9029,0.9068,0.6818,0.9455,1.0,1.0,0.7159,0.2364,0.6818,0.9455,1.0,110,3,2.86
7lzp_G,ESM,110,0.914,0.9562,0.9488,0.9545,0.8545,0.9636,1.0,1.0,0.8432,0.5545,0.8545,0.9636,1.0,110,3,2.86
7lzp_G,AF2r10,110,0.749,0.9674,0.9614,0.9682,0.8818,0.9909,1.0,1.0,0.875,0.6273,0.8818,0.9909,1.0,110,3,2.86
7lzp_G,OF,110,0.693,0.9708,0.9652,0.9682,0.8727,1.0,1.0,1.0,0.8795,0.6455,0.8727,1.0,1.0,110,3,2.86
7lzp_G,AF2mem,110,1.025,0.945,0.9358,0.9341,0.7909,0.9455,1.0,1.0,0.7932,0.4364,0.7909,0.9455,1.0,110,3,2.86
7lzp_G,OFr4,110,0.725,0.9687,0.9629,0.9659,0.8727,0.9909,1.0,1.0,0.8773,0.6455,0.8727,0.9909,1.0,110,3,2.86
7lzp_G,OFr4em,110,0.902,0.9518,0.9428,0.9477,0.8,0.9909,1.0,1.0,0.7909,0.3727,0.8,0.9909,1.0,110,3,2.86
7lzp_G,AF2em,110,0.939,0.9485,0.939,0.9386,0.7636,0.9909,1.0,1.0,0.7795,0.3636,0.7636,0.9909,1.0,110,3,2.86
7lzp_G,IFem,110,1.381,0.912,0.8828,0.9045,0.7273,0.8909,1.0,1.0,0.7341,0.3182,0.7273,0.8909,1.0,110,3,2.86
7lzp_G,NNem,110,1.53,0.8937,0.8672,0.8545,0.5455,0.8818,0.9909,1.0,0.6614,0.2273,0.5455,0.8818,0.9909,109,3,2.86
7lzp_G,AF2r10em,110,0.958,0.9473,0.9378,0.9364,0.7727,0.9727,1.0,1.0,0.7909,0.4182,0.7727,0.9727,1.0,110,3,2.86
7lzp_G,NN,110,1.28,0.924,0.9057,0.9227,0.7909,0.9,1.0,1.0,0.7886,0.4636,0.7909,0.9,1.0,110,3,2.86
7lzp_G,AF2,110,0.75,0.9668,0.9606,0.9659,0.8636,1.0,1.0,1.0,0.8682,0.6091,0.8636,1.0,1.0,110,3,2.86
7lzp_G,OFr20,110,0.693,0.9706,0.9649,0.9682,0.8727,1.0,1.0,1.0,0.8727,0.6182,0.8727,1.0,1.0,110,3,2.86
7lzp_G,OFem,110,0.884,0.9533,0.9445,0.9545,0.8182,1.0,1.0,1.0,0.7909,0.3455,0.8182,1.0,1.0,110,3,2.86
7lzp_G,AF2m,110,0.866,0.9616,0.9553,0.9636,0.8909,0.9636,1.0,1.0,0.8795,0.6636,0.8909,0.9636,1.0,110,3,2.86
7lzp_G,OFr20em,110,0.9,0.9514,0.9422,0.9477,0.8,0.9909,1.0,1.0,0.7795,0.3273,0.8,0.9909,1.0,110,3,2.86
7lzp_G,IF,110,1.351,0.9211,0.8941,0.9159,0.7636,0.9,1.0,1.0,0.7864,0.4818,0.7636,0.9,1.0,110,3,2.86
7qbg_E,NNem,124,1.917,0.8708,0.8096,0.8246,0.5161,0.8226,0.9597,1.0,0.629,0.2177,0.5161,0.8226,0.9597,123,16,2.69
7qbg_E,OFem,124,1.48,0.9134,0.8806,0.8891,0.6935,0.879,0.9839,1.0,0.7339,0.379,0.6935,0.879,0.9839,122,16,2.69
7qbg_E,AF2em,124,1.48,0.916,0.88,0.8871,0.7016,0.871,0.9758,1.0,0.7319,0.379,0.7016,0.871,0.9758,122,16,2.69
7qbg_E,AF2r10em,124,1.485,0.9167,0.885,0.8911,0.7177,0.871,0.9758,1.0,0.7339,0.371,0.7177,0.871,0.9758,123,16,2.69
7qbg_E,OFr4,124,1.199,0.9444,0.9175,0.9315,0.8065,0.9274,0.9919,1.0,0.8448,0.6532,0.8065,0.9274,0.9919,123,16,2.69
7qbg_E,OF,124,1.199,0.9444,0.9175,0.9315,0.8065,0.9274,0.9919,1.0,0.8448,0.6532,0.8065,0.9274,0.9919,123,16,2.69
7qbg_E,YS,124,1.822,0.8953,0.8541,0.8649,0.6532,0.8468,0.9597,1.0,0.6734,0.2339,0.6532,0.8468,0.9597,120,16,2.69
7qbg_E,NN,124,1.779,0.9018,0.8525,0.8831,0.7419,0.8306,0.9597,1.0,0.7762,0.5726,0.7419,0.8306,0.9597,120,16,2.69
7qbg_E,AF2m,124,1.263,0.9435,0.9146,0.9355,0.8387,0.9194,0.9839,1.0,0.8407,0.621,0.8387,0.9194,0.9839,123,16,2.69
7qbg_E,IFem,124,1.796,0.8969,0.8437,0.871,0.6935,0.8468,0.9435,1.0,0.7097,0.3548,0.6935,0.8468,0.9435,120,16,2.69
7qbg_E,OFr4em,124,1.48,0.9156,0.8782,0.8931,0.7177,0.871,0.9839,1.0,0.746,0.4113,0.7177,0.871,0.9839,122,16,2.69
7qbg_E,AF2mem,124,1.432,0.927,0.8913,0.9133,0.7742,0.9032,0.9758,1.0,0.7742,0.4435,0.7742,0.9032,0.9758,122,16,2.69
7qbg_E,IF,124,1.566,0.9166,0.8772,0.9012,0.7661,0.8629,0.9758,1.0,0.7964,0.5806,0.7661,0.8629,0.9758,121,16,2.69
7qbg_E,OFr20em,124,1.46,0.9156,0.8809,0.8952,0.7177,0.879,0.9839,1.0,0.7359,0.3629,0.7177,0.879,0.9839,123,16,2.69
7qbg_E,AF2,124,1.208,0.9447,0.9203,0.9395,0.8468,0.9194,0.9919,1.0,0.8427,0.6129,0.8468,0.9194,0.9919,123,16,2.69
7qbg_E,ESM,124,1.042,0.9554,0.9357,0.9456,0.8387,0.9435,1.0,1.0,0.8589,0.6532,0.8387,0.9435,1.0,124,16,2.69
7qbg_E,OFr20,124,1.199,0.9444,0.9175,0.9315,0.8065,0.9274,0.9919,1.0,0.8448,0.6532,0.8065,0.9274,0.9919,123,16,2.69
7qbg_E,AF2r10,124,1.224,0.9429,0.9183,0.9355,0.8306,0.9194,0.9919,1.0,0.8387,0.6129,0.8306,0.9194,0.9919,123,16,2.69
7vfb_B,ESM,127,1.428,0.9411,0.9163,0.9311,0.8268,0.9213,0.9764,1.0,0.8504,0.6772,0.8268,0.9213,0.9764,123,19,2.0
7vfb_B,OFr20em,127,1.436,0.9308,0.8999,0.9154,0.7795,0.9055,0.9764,1.0,0.7854,0.4803,0.7795,0.9055,0.9764,124,19,2.0
7vfb_B,OFem,127,1.448,0.9276,0.8913,0.9035,0.7402,0.8976,0.9764,1.0,0.7795,0.5039,0.7402,0.8976,0.9764,124,19,2.0
7vfb_B,YS,127,2.514,0.8466,0.776,0.8051,0.5433,0.7874,0.8898,1.0,0.6201,0.2598,0.5433,0.7874,0.8898,115,19,2.0
7vfb_B,OFr4,127,1.322,0.9466,0.9219,0.9429,0.8583,0.9291,0.9843,1.0,0.872,0.7165,0.8583,0.9291,0.9843,124,19,2.0
7vfb_B,IFem,127,1.216,0.9429,0.9213,0.9291,0.7874,0.937,0.9921,1.0,0.8071,0.5118,0.7874,0.937,0.9921,126,19,2.0
7vfb_B,AF2r10,127,1.362,0.9449,0.9201,0.939,0.8504,0.9213,0.9843,1.0,0.8681,0.7165,0.8504,0.9213,0.9843,124,19,2.0
7vfb_B,OFr20,127,1.334,0.9466,0.9228,0.9449,0.8661,0.9291,0.9843,1.0,0.878,0.7323,0.8661,0.9291,0.9843,123,19,2.0
7vfb_B,AF2em,127,1.361,0.937,0.9078,0.9331,0.8189,0.9213,0.9921,1.0,0.8012,0.4724,0.8189,0.9213,0.9921,124,19,2.0
7vfb_B,IF,127,1.208,0.9442,0.9195,0.9311,0.811,0.9213,0.9921,1.0,0.8248,0.5748,0.811,0.9213,0.9921,126,19,2.0
7vfb_B,AF2,127,1.379,0.9436,0.9184,0.939,0.8425,0.9291,0.9843,1.0,0.8642,0.7008,0.8425,0.9291,0.9843,124,19,2.0
7vfb_B,NN,127,1.289,0.9337,0.9062,0.9134,0.7559,0.9055,0.9921,1.0,0.7972,0.5354,0.7559,0.9055,0.9921,127,19,2.0
7vfb_B,AF2r10em,127,1.441,0.932,0.9015,0.9173,0.7638,0.9213,0.9843,1.0,0.7795,0.4488,0.7638,0.9213,0.9843,124,19,2.0
7vfb_B,OFr4em,127,1.335,0.9374,0.9092,0.9232,0.7874,0.9213,0.9843,1.0,0.815,0.5669,0.7874,0.9213,0.9843,125,19,2.0
7vfb_B,NNem,127,1.69,0.893,0.8357,0.8622,0.5984,0.8661,0.9843,1.0,0.6654,0.2126,0.5984,0.8661,0.9843,126,19,2.0
7vfb_B,OF,127,1.321,0.9471,0.9232,0.9429,0.8583,0.9291,0.9843,1.0,0.876,0.7323,0.8583,0.9291,0.9843,123,19,2.0
7omn_A,ESM,124,2.771,0.9097,0.883,0.9133,0.8145,0.9113,0.9435,0.9839,0.7964,0.5161,0.8145,0.9113,0.9435,117,16,1.7
7omn_A,OF,124,1.793,0.9212,0.8896,0.9194,0.8145,0.9194,0.9435,1.0,0.8024,0.5323,0.8145,0.9194,0.9435,117,16,1.7
7omn_A,OFr4,124,2.143,0.9134,0.883,0.9173,0.8145,0.9113,0.9435,1.0,0.8004,0.5323,0.8145,0.9113,0.9435,116,16,1.7
7omn_A,NNem,124,2.489,0.874,0.8359,0.8367,0.5645,0.8468,0.9355,1.0,0.6532,0.2661,0.5645,0.8468,0.9355,117,16,1.7
7omn_A,OFem,124,1.658,0.9149,0.8718,0.9012,0.75,0.8952,0.9597,1.0,0.7399,0.3548,0.75,0.8952,0.9597,120,16,1.7
7omn_A,AF2em,124,3.045,0.8919,0.8587,0.8871,0.7661,0.879,0.9274,0.9758,0.7339,0.3629,0.7661,0.879,0.9274,116,16,1.7
7omn_A,IF,124,2.783,0.903,0.8759,0.9012,0.8065,0.879,0.9435,0.9758,0.7823,0.5,0.8065,0.879,0.9435,117,16,1.7
7omn_A,AF2r10em,124,3.046,0.893,0.8602,0.8851,0.7581,0.8871,0.9274,0.9677,0.754,0.4435,0.7581,0.8871,0.9274,116,16,1.7
7omn_A,IFem,124,2.822,0.8919,0.853,0.8871,0.7661,0.871,0.9355,0.9758,0.756,0.4516,0.7661,0.871,0.9355,116,16,1.7
7omn_A,OFr4em,124,2.295,0.9027,0.8681,0.8992,0.7742,0.8952,0.9355,0.9919,0.748,0.3871,0.7742,0.8952,0.9355,116,16,1.7
7omn_A,OFr20,124,1.803,0.9212,0.889,0.9194,0.8145,0.9194,0.9435,1.0,0.8044,0.5403,0.8145,0.9194,0.9435,117,16,1.7
7omn_A,YS,124,2.729,0.8949,0.8657,0.881,0.7177,0.8871,0.9435,0.9758,0.7177,0.3226,0.7177,0.8871,0.9435,117,16,1.7
7omn_A,AF2,124,3.055,0.9088,0.8833,0.9012,0.8065,0.9032,0.9355,0.9597,0.7923,0.5242,0.8065,0.9032,0.9355,116,16,1.7
7omn_A,OFr20em,124,1.64,0.9134,0.869,0.8972,0.7339,0.8952,0.9597,1.0,0.7238,0.3065,0.7339,0.8952,0.9597,120,16,1.7
7omn_A,NN,124,2.241,0.9119,0.8832,0.9113,0.8065,0.8952,0.9435,1.0,0.7903,0.5161,0.8065,0.8952,0.9435,117,16,1.7
7omn_A,AF2r10,124,3.096,0.9056,0.8754,0.9032,0.8226,0.9032,0.9274,0.9597,0.8004,0.5484,0.8226,0.9032,0.9274,116,16,1.7
7nfq_C,OFem,116,0.772,0.9687,0.9611,0.972,0.9052,0.9828,1.0,1.0,0.8685,0.5862,0.9052,0.9828,1.0,116,8,1.68
7nfq_C,IF,116,1.092,0.9601,0.9428,0.9698,0.931,0.9569,0.9914,1.0,0.9052,0.7414,0.931,0.9569,0.9914,113,8,1.68
7nfq_C,OFr20em,116,0.78,0.9679,0.9588,0.972,0.9052,0.9828,1.0,1.0,0.8513,0.5172,0.9052,0.9828,1.0,116,8,1.68
